,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PRR7,18.218076490080804,-1.044774648650504,0.20543548344330997,-5.499321031622846,3.812564485681442e-08,7.615192246365909e-07
DBN1,4.054900245816106,-0.09494009417954995,0.2801805808601203,-0.6519467137424818,0.5144355481859911,0.7523800740393951
PDLIM7,18.17675866215542,-0.024480479063107193,0.26684788048096075,-0.1486686433126094,0.8818151052294517,0.9665116581960602
DOK3,7.365572696438633,-0.009664408315264578,0.29042651114611967,-0.04164729488652217,0.9667798700585667,0.9922232719914861
DDX41,6.130687364635382,0.08695359270340641,0.09013349019232299,1.0532906048711779,0.29220782352502084,0.533290475451997
FAM193B,3.4867665621582513,-0.38820345239507514,0.12188226162475001,-3.4027551118498303,0.0006671004388865064,0.00447839994957419
RP11-1277A3.3,0.039747188801251734,0.01635361020558706,0.4218497124022874,0.08198803206562297,0.9346562304419781,
TMED9,40.58369270088231,0.4192478651581151,0.15815086818808002,3.091480570486971,0.0019916101573805097,0.011407595024160269
B4GALT7,3.78976819778508,0.2033241829929124,0.10327430939885389,2.157551258977243,0.030962737729973096,0.10572540386793353
RP11-1277A3.1,0.08205508477681467,-0.8192785334262874,0.449066743286677,-1.5932078806053327,0.11111356392033048,
FAM153A,0.7200544999016533,-0.268855428370881,0.37688425265147374,-1.0054275383682536,0.314691025060713,0.558135443508674
RP11-1026M7.2,0.0048160187585674676,-0.02910818307235189,0.3116968686502247,-0.011662533587382602,0.9906948554506521,
RP11-1252I4.2,0.3461536699019836,0.06959155169369495,0.4446401357332989,0.31366064425590656,0.7537787946251782,0.9074181374467004
RP11-423H2.3,0.34034082977243074,-0.035031429612684635,0.33357898657849666,-0.16749582625477652,0.8669799313069733,0.9619643816530619
RP11-423H2.4,0.0036404883585550857,0.016440055444446367,0.5870662428949046,0.04223478208287002,0.966311535195244,
FAM153C,0.2409878563862329,-1.6069791411679404,0.6118345692699212,-1.7503665523638434,0.08005508370087092,0.21542821544416582
N4BP3,1.3161894500356934,-0.5969940164664612,0.41731346956578624,-2.0188967672790312,0.04349795030759275,0.13671184506781148
RMND5B,5.117185066334589,0.3210998617647345,0.15998363780237485,2.426248147312368,0.01525583500089232,0.060005460142623736
